book_name,top_k,uses_hnsw,latency_ms,plan_type
12. The Gathering Storm,15,True,4.379,HNSW
12. The Gathering Storm,20,True,4.505,HNSW
12. The Gathering Storm,25,True,5.925,HNSW
12. The Gathering Storm,30,True,4.225,HNSW
12. The Gathering Storm,31,True,4.561,HNSW
12. The Gathering Storm,32,True,5.91,HNSW
12. The Gathering Storm,33,True,4.194,HNSW
12. The Gathering Storm,34,True,4.388,HNSW
12. The Gathering Storm,35,True,4.427,HNSW
12. The Gathering Storm,36,True,4.432,HNSW
12. The Gathering Storm,37,True,4.273,HNSW
12. The Gathering Storm,38,False,4220.906,Bitmap
12. The Gathering Storm,39,False,2676.02,Bitmap
01. The Eye of the World,1,True,4.555,HNSW
01. The Eye of the World,5,True,4.152,HNSW
01. The Eye of the World,10,True,4.675,HNSW
01. The Eye of the World,15,True,4.613,HNSW
01. The Eye of the World,20,True,4.681,HNSW
01. The Eye of the World,25,True,4.332,HNSW
01. The Eye of the World,30,True,4.616,HNSW
01. The Eye of the World,31,True,4.7,HNSW
01. The Eye of the World,32,True,5.019,HNSW
01. The Eye of the World,33,True,4.771,HNSW
01. The Eye of the World,34,True,5.307,HNSW
01. The Eye of the World,35,True,5.242,HNSW
01. The Eye of the World,36,True,5.268,HNSW
01. The Eye of the World,37,True,4.692,HNSW
01. The Eye of the World,38,False,4320.275,Bitmap
01. The Eye of the World,39,False,2711.131,Bitmap
11. Knife of Dreams,1,True,4.483,HNSW
11. Knife of Dreams,5,True,5.205,HNSW
11. Knife of Dreams,10,True,4.811,HNSW
11. Knife of Dreams,15,True,4.911,HNSW
11. Knife of Dreams,20,True,5.312,HNSW
11. Knife of Dreams,25,True,4.858,HNSW
11. Knife of Dreams,30,True,4.8,HNSW
11. Knife of Dreams,31,True,4.371,HNSW
11. Knife of Dreams,32,True,4.747,HNSW
11. Knife of Dreams,33,True,4.693,HNSW
11. Knife of Dreams,34,True,4.19,HNSW
11. Knife of Dreams,35,True,4.696,HNSW
11. Knife of Dreams,36,True,4.63,HNSW
11. Knife of Dreams,37,True,4.762,HNSW
11. Knife of Dreams,38,False,4573.393,Bitmap
11. Knife of Dreams,39,False,2663.231,Bitmap
13. Towers of Midnight,1,True,4.222,HNSW
